Id,original
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0013.json,20240813_0036_88-Blue-Devil-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0101.json,"1104-Engineer-Combat-Group,-from-D-Day-to-the-Elbe.tif"
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0044.json,20240422_0021_208-Engineer.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0117.json,79th_4_Over-the-Rhine.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0052.json,20240813_0007_11-G-2-after-action-report.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0140.json,20241003_001_Hell Point.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0072.json,20240419_0006_First-US-Army-June-6-1944-May-9-1945.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0025.json,20240422_0018_1104-Engr-Roer-River.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0033.json,20240813_0025_20th-Armored-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0064.json,20240813_0038_297-Engr.-Combat-Bn..tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0121.json,20240422_0022_987th_FA_Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0048.json,20240419_0015_Deutschland-kaput.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0009.json,20240813_0009_1st-BnFranceBelgiumHollandGermany.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0008.json,20240813_0010_XXI-Corps.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0049.json,20240813_0006_5th-Armored-Victory-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0065.json,20240813_0040_509th-Military-Police-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0120.json,20240813_0005_97-Inf-Div-ETO.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0032.json,20240813_0026_One Hundred Seventy-Third Field Artillery Group.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0024.json,20240813_0022_1106th Engineer Combat Group.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0073.json,20240418_0002_USS-Pathfinder.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0136.json,20240813_0016_Pacific-Operations-WW2.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0141.json,20241003_006_2 Dragons.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0116.json,79th_3_To-The-Rhine.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0053.json,20240813_0002_816th_Eng_Avn_Bn.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0100.json,"The Blue Ridge path, through France, Luxembourg, Germany, and Austria.tif"
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0045.json,20240422_0016_1340th-Engineer-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0012.json,0010_66-Infantry-Regiment.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0069.json,20240813_0021_Map-History-of-the-1st-Armored-Division-a.tif|20240813_0021_Map-History-of-the-1st-Armored-Division-b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0028.json,20240813_0018_First-Tank-Destroyer-Group.tif
